Episode,Totle Timestep,Total Score
1,20,21882.072509765625
2,7,6607.09716796875
3,5,4351.2972412109375
4,7,6637.216064453125
5,29,32253.519287109375
6,11,11350.1611328125
7,10,9904.33447265625
8,47,53523.6904296875
9,4,3331.0450439453125
10,44,50655.14929199219
11,10,9930.712158203125
12,13,13603.469604492188
13,10,10055.265014648438
14,136,168517.63134765625
15,24,26401.534057617188
16,34,38787.84045410156
17,16,16596.936889648438
18,150,177937.14282226562
19,87,103022.27221679688
20,78,92307.81262207031
21,6,5591.935546875
22,32,35924.341064453125
23,6,5542.045166015625
24,5,4403.4443359375
